Nama Makanan,Ukuran Porsi,Kalori (kkal),Karbohidrat (g),Lemak (g),Protein (g)
kaburan ubi segar,100,133,32.2,0.2,1
kentang segar,100,62,13.5,0.2,2.1
kentang hitam segar,100,142,33.7,0.4,0.9
keribang ubi segar,100,137,29.8,1.1,1.3
ketela pohon singkong segar,100,154,36.8,0.3,1
lepokubi rumput,100,181,39.8,1.2,2.8
sagu aren kering,100,355,85.6,1.1,0.6
sagu aren segar,100,231,56.6,0.2,0.6
sagu kasbi segar,100,230,56.5,0.2,0.6
sagu lempeng,100,347,85.2,0.3,0.9
sagu singkong kering,100,362,86.9,0.3,0.5
sente talas segar,100,353,84.7,0.2,0.7
suweg talas segar,100,74,17.2,0.1,1.4
talas bogor segar,100,108,25,0.4,1.4
talas pontianak segar,100,163,36.4,0.5,2.3
talas viqueque segar,100,115,25.9,0.5,1.8
ubi jalar kuning segar,100,119,25.1,0.4,0.5
ubi jalar manis segar,100,83,18.8,0.2,1.5
ubi jalar merah segar,100,151,35.4,0.3,1.6
ubi jalar putih segar,100,88,20.6,0.4,0.4
ubi jalar tinta kemayung,100,108,25.6,0.4,0.5
umbi uwi segar,100,120,82.3,0.5,2.8
batatas kelapa ubi bakar,100,110,23.4,1.1,1.4
batatas kelapa ubi kukus,100,92,21,0.3,1.2
batatas tali ubi rebus,100,182,42.2,0.4,2.4
belitung talas kukus,100,145,34.2,0.4,1.2
bentul talas kukus,100,71,15.4,0.3,2.3
gadung ubi kukus,100,88,20.9,0.3,0.6
ganyong rebus,100,100,23.8,0.2,0.8
ketela pohon singkong kukus,100,153,36.4,0.3,1.2
suweg talas kukus,100,93,21.9,0.1,1.5
talas bogor kukus,100,120,28.2,0.3,1.5
ubi jalar kuning kukus,100,100,23.8,0.3,0.7
ubi jalar tinta kemayung kukus,100,165,39.8,0.2,0.9
bagea kelapa asin,100,450,78.1,13.9,3.2
bagea kelapa manis,100,452,80.6,13.8,1.3
bagea kenari asin,100,529,63.6,29.1,3.2
bagea kenari manis,100,523,64.2,28.2,3.2
bagea kw,100,416,76.3,9.4,6.5
beras cerdas,100,350,82.3,1.1,2.7
beras ganyong,100,364,86.3,0.7,3.4
beras siger,100,344,28.3,0.2,1.1
biji nangkabiji salak,100,262,51.1,5.4,2.3
bubur sagu,100,167,33,4,0.2
cassavastick,100,460,17.2,18.7,0.8
ceriping getuk singkong,100,462,67.7,20.7,1.2
gatot,100,347,83.8,0.7,1.3
geblek,100,195,44.4,1.7,0.4
getuk singkong,100,204,47.4,1.4,0.5
gurandil,100,218,48.5,2.5,0.5
kabuto,100,250,35.4,2.5,2.6
kapurung,100,41,7.8,0.3,2
kecimpring singkong goreng,100,464,73,18.6,1.2
keremes,100,475,64.4,25.2,1.6
keripik gadung,100,446,76,14.5,2.8
keripik kentang,100,448,67.1,18.8,2.7
keripik singkong,100,478,72,20.7,0.9
keripik singkong berbumbu,100,481,73.6,19.7,2.2
keripik ubi,100,486,67.6,23.9,0.2
kerupuk cumi goreng,100,444,71.3,14.6,6.9
kerupuk kemplang ikan mentah,100,325,78.5,0.4,1.8
kerupuk kemplang goreng,100,504,57.1,28.1,5.6
kerupuk mie kuning goreng,100,476,71.3,21.1,0.1
kue bangket,100,338,80.3,1.2,1.5
kue putu singkong,100,217,53.2,0.5,1.2
mi golosor,100,71,15.9,0.8,0.2
mie bendo,100,353,88,0,0.3
ongolongol sagu,100,111,21.2,2.7,0.3
oyek,100,351,84.9,0.9,0.9
papeda,100,61,14.9,0.1,0.2
rasbi beras ubi,100,394,76.6,8.8,2.2
rasi beras singkong,100,350,85.7,0.4,0.9
sagu forno,100,291,63.4,4,0.5
sagu lemak kue sagon,100,452,76.8,14.8,2.8
sagu manis,100,287,62.4,3.9,0.5
sagu rendang,100,364,90.5,0.2,0.1
sagu sinole,100,354,68.9,8.3,0.8
serimping talas kebumen,100,478,69.2,21.2,2.5
tapai singkong,100,169,40.2,0.3,1.4
tiwul,100,353,83.4,1.1,2.4
tiwul instan,100,395,76.5,8.5,3.2
ubi cilembu,100,186,44.3,0.2,1.9
uli batatas,100,150,27.4,4,1.1
batagor batagor,100,165.7,16.7,8.5,5.9
kenari banda kering,100,616,13.7,56.2,13.9
kenari kering,100,657,13,66,15
komak polong segar,100,99,21.2,0.1,3.3
koro andong kering,100,356,61.6,4.1,20.5
koro benguk biji kering,100,332,55,3,24
koro kerupuk biji segar,100,125,22.1,0.7,8.3
koro loke biji segar,100,33,7.9,0.2,2.7
koro roay kering,100,344,69.4,2.1,12.5
koro wedus biji kering,100,338,61,1.5,22.2
lamtoro biji muda segar,100,85,15.4,0.3,5.7
lamtoro biji tua segar,100,148,26.2,0.5,10.6
lamtoro var gung tanpa kulit,100,367,32.5,5.4,46.4
lamtoro var lokal dengan kulit,100,336,59.7,1.2,23.8
nangka biji segar,100,165,36.7,0.1,4.2
saga merah terkupas mentah,100,449,31.9,25.5,30.6
kacang belimbing rebus,100,204,17.5,8.8,16.9
kacang bogor goreng,100,479,58.9,23.2,12.7
kacang bogor rebus,100,161,27.1,2.8,7.7
kacang gude rebus,100,147,27.5,0.5,9
kacang hijau rebus,100,109,18.3,0.5,8.7
kacang kedelai goreng,100,521,22.9,37.7,32.2
kacang kedelai rebus,100,189,12.7,8.2,20.2
kacang merah kering rebus,100,158,28.2,0.9,10.3
kacang merah segar rebus,100,144,24.7,1,10
kacang metebiji jambu monyet goreng,100,629,19.8,56.3,20.4
kacang tanah rebus dg kulit,100,360,12.8,31.2,13.5
kacang tanah goreng,100,564,25.5,44.4,25.5
kacang tanah rebus,100,220,8,18,10.6
kacang tolo rebus,100,138,22.6,1.1,10.7
ampas kacang hijau,100,96,19.1,0.6,3.7
ampas tahu mentah,100,67,8.1,2.1,5
ampas tahu kukus,100,75,10.7,2.1,4.1
ampas tahu kering,100,414,41.3,18.3,26.6
pepea oncom ampas tahu,100,76,10.6,1.8,5.2
bungkil biji karet,100,333,50,3.3,29.3
bungkil kacang tanah,100,336,30.5,13,37.4
bungkil kelapa,100,368,40,15,23
dodol banjarmasin,100,368,70,8.6,2.6
emping kerupuk melinjo,100,345,71.5,1.5,12
emping komak,100,355,60.7,4.6,17.8
entingenting gepuk hello kity,100,538,52.6,30.3,13.6
entingenting gepuk kacang tanah,100,524,52,29.2,13.3
entingenting wijen,100,565,36.8,38.4,18.2
geplak,100,350,53.6,14.4,1.4
geplak jahe,100,462,57.7,24.4,3.1
kacang goyang,100,516,44.4,31.1,14.7
kacang negara,100,480,58.5,19.1,18.4
kacang sukro,100,484,57.7,26.1,8.8
kacang tanah sari,100,561,26,43.8,25.5
keju kacang tanah peanut butter,100,590,20.9,49,27
kembang tahu rebus,100,90,4.7,4,10.7
keripik oncom,100,598,42.6,43.8,8.3
keripik tempe abadi besar,100,556,39.8,37.1,15.8
keripik tempe abadi murni,100,542,11.6,42.4,40.3
keripik tempe abadi sedang,100,510,52.4,27.9,12.3
keripik tempe abadi telur,100,529,40.2,31.7,20.8
kerupik tempe abadi prima,100,540,42,33.9,16.7
kwaci,100,515,13.8,42.1,30.6
melinjo emping tebal goreng manis,100,439,65.7,16.4,10
melinjo emping tebal goreng asin,100,431,63,16.2,11.1
melinjo emping tipis goreng,100,485,59.1,24.5,11.5
moon tahu,100,128,1.3,10,8
oncom,100,187,22.6,6,13
oncom ampas kacang hijau,100,376,65.7,6,14.9
oncom kacang hijau singkong,100,351,65.9,5.3,11
oncom kacang tanah pepes,100,132,13.7,3.8,12.7
rempeyek kacang tanah,100,513,44.3,32.5,17.5
rempeyek kacang tolo,100,451,59.7,20.2,11.2
rempeyek kacang uci,100,497,50.8,27.6,17
sayur lebui,100,64,12.5,0.6,2.1
saridele bubuk,100,344,43,20,30
tahu mentah,100,80,0.8,4.7,10.9
tahu goreng,100,115,2.5,8.5,9.7
tahu telur,100,328,24.6,19.9,12.6
takwa,100,148,4,8.5,13.8
tauco,100,184,22.2,5.5,11.4
tauco cap beruang cake,100,347,67.6,5.2,7.4
tauco cap das cake,100,358,70.4,4.3,7.5
tauco cap meong,100,159,21.3,4.9,7.4
tauji cap singa,100,277,49.6,4.7,9.1
tempe bongkrek,100,119,18.3,3.5,4.4
tempe gembus pg,100,73,10.3,1.3,5.7
tempe gembus yogya,100,76,10.6,0.7,6.8
tempe kacang babi,100,139,21.9,0.8,12.5
tempe kacang belimbing,100,212,12.9,10,17.5
tempe kedelai jagung,100,143,11.4,5.5,12
tempe kedelai murni goreng,100,350,10.4,26.6,24.5
tempe kedelai murni mentah,100,201,13.5,8.8,20.8
tempe koro benguk,100,141,23.2,1.3,10.2
tempe lamtoro,100,128,21.3,0.5,10.7
tempe lamtoro var gung dengan kulit,100,146,19.6,2.3,11.7
tempe lamtoro var gung tanpa kulit,100,131,13,0.8,18
tempe pasar,100,150,9.1,7.7,14
tempe pasar goreng,100,336,7.8,28,20
tepung hunkwe pati kacang ijo,100,364,83.5,1,4.5
tepung jalejo,100,388,61.2,7.5,19
tepung kacang kedelai,100,347,29.9,20.6,35.9
bayam kukus,100,30,5.8,0.7,1.3
bayam rebus,100,23,3.7,0.6,1.2
buncis rebus,100,30,6.4,0.2,2.2
daun kacang panjang kukus,100,40,8,0.3,3.7
daun katuk rebus,100,53,9.1,0.9,5.3
daun kelor rebus,100,61,10,0.9,6.1
daun mengkudu kukus,100,63,11.5,1.5,3.8
daun singkong rebus,100,31,4.8,0.6,3.7
daun talas rebus,100,27,5.9,0.2,1.3
daun ubi merah kukus,100,56,13,0.3,3.1
kacang panjang kukus,100,39,7.6,0.6,3
kacang panjang rebus,100,30,5.8,0.4,2.3
kangkung kukus,100,30,4.7,0.7,3.2
kangkung rebus,100,22,3.1,0.6,2.5
paria putih kukus,100,16,3.4,0.2,0.8
selada rebus,100,19,2.9,0.2,2.7
taoge goreng,100,88,14,2.1,3.2
taoge seduh,100,28,4,0.8,3
terung panjang kukus,100,23,4.9,0.1,1.8
wortel rebus,100,28,6.3,0.5,0.7
wortel kukus,100,37,8.3,0.6,1
asinan bogor sayuran,100,98,14.8,2.6,3.9
anyang sayur,100,126,10.3,7.9,3.4
ares sayur,100,113,11.2,7.2,0.9
arwan sirsir,100,277,10.7,25,2.4
beberuk,100,65,3.5,5.2,1.1
botok lamtoro,100,186,13,9.7,11.7
buntil daun talas,100,141,8,10.2,4.4
cammetutu,100,102,8.7,6,3.2
cap cai sayur,100,97,4.2,6.3,5.8
gadogado,100,137,21,3.2,6.1
gudeg sayur,100,160,16,9.2,3.3
gulai pakis,100,143,6,11.4,4
gulai pliek,100,176,3.2,14.9,7.3
kadada katembe,100,110,7.1,6.9,4.5
kaparende sayur,100,38,2.6,2,2.4
karedok sayur,100,92,14.1,3.3,2.2
kotiu hinela tawang nggole,100,46,6,1.5,2.2
lema rebung asam,100,15,1.9,0.4,1
lilin bungkus gedi,100,79,5.8,5.2,2.3
olaholah,100,9,7.1,6,2.1
paku hinela wulelenggapaya,100,77,5.4,4.6,3.5
pelecing kangkung,100,75,10,2.8,2.5
purundawa,100,25,3.6,0.5,1.5
rujak cingur,100,153,8,8.4,11.3
sayur asem,100,29,5,0.6,0.7
sayur bunga pepaya,100,49,9.8,0.3,1.7
sayur garu,100,178,10.6,13.9,2.6
sayur kohukohu,100,133,11.2,6.6,7.3
sayur lilinterubuk,100,36,4.8,0.7,2.7
sayur ndusuk,100,49,3.6,2.5,3.1
sayur sop,100,27,1,2,1.3
sayur umbut rotan,100,57,3.1,2.6,5.4
shabushabu,100,88,0.8,8,3.2
semur jengkol,100,212,29.1,10,6
tinira ninahu nggaluku,100,33,4.1,1.3,1.2
tumis bayam bersantan,100,48,2.6,4.2,1.4
waluh balamak,100,45,8.1,0.9,0.8
woku ubi,100,143,15,7.8,3.1
alpukat segar,100,85,7.7,6.5,0.9
anggur hutan segar,100,30,6.8,0.2,0.5
apel malang segar,100,57,12.8,0.4,0.5
apel segar,100,58,14.9,0.4,0.3
arbai segar,100,37,8.3,0.5,0.8
belimbing segar,100,31,6.7,0.4,1
biwah segar,100,51,12.1,0.1,0.3
buah atung segar,100,23,5.2,0.2,0.8
buah kelenting segar,100,110,21.4,2.1,1.4
buah kom segar,100,264,59.6,1.1,4
buah mentega bisbul segar,100,39,9.7,0.2,0.7
buah naga merah segar,100,71,9.1,3.1,1.7
buah naga putih segar,100,56,10.9,1,0.8
buah negri segar,100,55,12.2,0.1,1.2
buah nona segar,100,101,25.2,0.6,1.7
buah rotan segar,100,78,18.2,0.3,0.6
buah rukam segar,100,113,26.8,0.3,0.8
buah ruruhi segar,100,29,3.6,0.7,2.1
buah tuppa segar,100,67,15.9,0.2,0.4
carica papaya segar,100,24,3.7,0.2,1.9
cempedak segar,100,116,28.6,0.4,3
duku segar,100,63,16.1,0.2,1
durian segar,100,134,28,3,2.5
duwet segar,100,80,18.2,0.6,0.5
embacang segar,100,98,25.4,0.2,1.4
encung asam segar,100,122,17.5,4.5,3.5
erbis segar,100,70,18.9,0,0.6
gandaria masak,100,68,18,0.1,0.7
gatep segar,100,191,39.7,1.5,4.5
jambu air segar,100,46,11.8,0.2,0.6
jambu bj putih tdk brbj,100,61,15.4,0.3,0.9
jambu bol segar,100,49,9.6,0.2,2.3
jambu monyet segar,100,64,15.8,0.6,0.7
jeruk bali segar,100,48,12.4,0.2,0.6
jeruk banjar segar,100,61,14.1,0.2,0.8
jeruk garutkeprok,100,44,10.9,0.3,0.8
jeruk kalamansi segar,100,39,8.9,0.3,0.3
jeruk manis segar,100,45,11.2,0.2,0.9
jeruk nipis segar,100,44,10,0.2,0.5
jeruk ragi segar,100,49,11.1,0.2,0.7
kawista segar,100,120,20.8,2.5,3.5
kedondong masak segar,100,46,10.3,0.1,1
kedondong segar,100,47,10.4,0.2,0.5
kelapa hutan kering,100,623,36.5,52.1,2
kelapa muda daging segar,100,68,14,0.9,1
kemang segar,100,48,11.9,0.2,1
kesemek segar,100,78,20,0.4,0.8
kokosan segar,100,86,13,0.2,1.6
kranji segar,100,315,73.5,1.4,2.1
langsat segar,100,56,14.3,0.2,0.9
lemon segar,100,34,6.2,0.8,0.5
lontar segar,100,27,6,0.2,0.4
mangga segar,100,52,12.3,0,0.7
mangga benggala segar,100,63,12.4,0.4,2.4
mangga gedung segar,100,44,11.2,0.2,0.7
mangga golek segar,100,63,16.7,0.2,0.5
mangga harumanis segar,100,46,11.9,0.2,0.4
mangga indramayu segar,100,72,18.7,0.2,0.8
mangga kopek segar,100,56,14.6,0.2,0.4
mangga kwini segar,100,86,19.8,0.5,0.7
mangga manalagi segar,100,133,32.1,0.1,1
mangga muda segar,100,59,15.1,0.4,0.5
manggis segar,100,63,15.6,0.6,0.6
markisa segar,100,144,29.8,1.2,3.5
matoa segar,100,90,21.1,0.1,1.2
melon segar,100,37,7.8,0.4,0.6
menteng segar,100,65,16.1,0.3,1.7
nanas palembang segar,100,58,13.3,0.2,0.7
nanas segar,100,40,9.9,0.3,0.6
nangka masak pohon segar,100,106,27.6,0.3,1.2
pala daging segar,100,42,10.9,0.2,0.3
pepaya segar papaya fresh,100,46,12.2,0.1,0.5
pisang ambon segar,100,108,24.3,0.8,1
pisang angleng pisang ampyang segar,100,68,17.2,0.2,1.3
pisang ayam segar,100,120,26.8,0.2,1.1
pisang gapi segar,100,131,31.1,0.1,1.6
pisang goroho segar,100,119,27.9,0.2,1.5
pisang hijau segar,100,121,28.9,0.1,1
pisang kayu segar,100,100,23.6,0.5,1.4
pisang kepok segar,100,109,26.3,0.5,0.8
pisang ketip segar,100,145,34.5,0.3,1.1
pisang kidang segar,100,96,22.5,0.2,1
pisang lampung segar,100,99,25.6,0.2,1.3
pisang mas bali ampenan segar,100,92,21,0.2,1.4
pisang mas bali kopang segar,100,127,31.8,0.2,1.4
pisang mas segar,100,127,33.6,0.2,1.4
pisang raja sereh segar,100,108,28.2,0.3,1.3
pisang raja segar,100,120,31.8,0.2,1.2
pisang ua segar,100,128,30.2,0.5,0.8
pisang uli segar,100,134,35.5,0.5,1.1
purut segar,100,76,15.2,1.1,4.1
rambutan binjai segar,100,76,18,0.2,0.5
rambutan segar,100,69,18.1,0.1,0.9
salak bali segar,100,57,13.6,0.1,0.5
salak medan segar,100,55,12.8,0.2,0.4
salak pondoh segar,100,87,20.1,0.4,0.8
sawo duren segar,100,64,8,3.1,1
sawo kecik segar,100,111,21.6,2.3,0.9
sawo manila segar,100,92,22.4,1.1,0.5
semangka segar,100,28,6.9,0.2,0.5
sirsak segar,100,65,16.3,0.3,1
sowa segar,100,48,9.1,0.6,1.6
srikaya segar,100,63,13.9,0.5,1.1
sukun muda segar,100,119,28.1,0.2,1.4
sukun tua segar,100,126,24.5,0.2,1.6
vigus segar,100,44,8.3,0.1,2.4
wani segar,100,74,17.1,0.3,0.8
keripik lampung,100,485,69.7,22.2,1.7
ledre pisang,100,405,84.9,5.1,4.8
lempog durian,100,320,63.7,5.7,3.5
loka anjoro,100,163,30,4.3,1.1
ricarica taipa,100,49,10,0.3,1.6
rujak aceh,100,82,19.7,0.3,0.4
sale kesemek,100,296,71.4,0.6,1.1
sale pisang siam,100,281,66.1,0.7,2.4
sale pisang cilacap,100,295,66.9,2.1,2.3
tepung pisang,100,338,80.6,0.4,2.9
tepung sukun,100,353,84.4,0.5,2.9
ayam ampela goreng,100,270,9.9,11.2,32.3
ayam usus goreng,100,473,13.9,26.3,45.2
bebek daging goreng,100,300,4.5,20.7,24
buaya daging dendeng mentah,100,365,30.8,4.8,49.6
ham,100,384,0.3,35,16.9
itik alabio daging dendeng mentah,100,496,18.4,33.5,30.3
kerupuk urat,100,588,1.2,40.9,53.7
menjangan daging dendeng mentah,100,322,22.7,2,55.8
punai daging goreng,100,224,4.4,11.3,26.2
rusa daging dendeng mentah,100,536,0,41.5,40.5
sapi abon,100,212,59.3,10.6,18
sapi abon asli,100,358,38.6,16.1,14.6
sapi daging asap,100,182,0,6,32
sapi daging dendeng mentah,100,301,0,9,55
sapi daging kornet,100,289,0,25,16
sapi daging sosis worst,100,448,2.3,42.3,14.5
sapi hati sosis liverworst,100,274,3,22,16
sapi paru dendeng mentah,100,360,19.2,6,57.3
sapi paru goreng,100,268,14.5,12.7,23.9
ulat sagu panggang,100,380,14.9,30.3,11.9
ayam goreng church texas dada,100,338,0.4,20.6,35.2
ayam goreng churchtexas paha,100,287,1.7,15.7,31
ayam goreng church texas sayap,100,295,1.5,16,34
ayam goreng kentucky dada,100,298,0.1,16.8,34.2
ayam goreng kentucky paha,100,286,1.1,16.1,32.1
ayam goreng kentuckysayap,100,297,1.6,15.2,35.9
ayam goreng mbok berek dada,100,295,1,13.6,39.2
ayam goreng pasundan dada,100,246,0.7,9,37.9
ayam goreng pasundan paha,100,245,0.3,11.4,33.1
ayam goreng pioneer dada,100,295,0.6,14.7,37.4
ayam goreng sukabumi dada,100,244,1,9.2,36.7
ayam goreng sukabumi paha,100,283,0.5,14.3,35.7
ayam taliwang masakan,100,264,2.7,20.1,18.2
babi hutan masak rica masakan,100,491,0.2,16.3,24.6
beef burger,100,258,32.5,9.5,10.6
beef teriyaki masakan,100,151,22.3,3.1,8.6
beef yakiniku masakan,100,132,20.7,1.1,9.8
brongkos,100,141,12.6,3.3,15.3
bulgogi masakan,100,72,1.4,4.9,11.4
chicken teriyaki masakan,100,168,7.5,9.6,13
chikiniku masakan,100,143,22.8,1.4,9.8
coto mangkasara kuda masakan,100,96,3.8,5.9,6.8
coto mangkasara sapi masakan,100,84,1.4,6,6
djibokum masakan,100,248,40.9,2.3,10
empal daging goreng masakan,100,248,10.1,6.9,36.2
gulai kambing,100,126,6.2,9.4,4.2
jangang bintatoeng masakan,100,107,16.5,2.2,5.3
kalio ayam masakan,100,203,4.4,13.5,16
kalio jeroan masakan,100,163,4.1,9,16.5
kalio kikil tunjang masakan,100,122,3.9,5.7,13.8
kalio otak masakan,100,157,11.4,8.8,8.1
lawar babi masakan,100,174,3,10,17
lawar penyu masakan,100,141,7.6,1.5,23
lawara jangang masakan,100,159,10.1,10.9,5
naan maran sapi masakan,100,478,5.1,33.9,38.3
nasu likku masakan,100,196,15.9,8.3,14.5
oramu ninahu ndawa olaho masakan,100,117,4.3,5,13.7
paniki masak santan masakan,100,460,7.2,35.2,28.5
pelolah manuk masakan,100,219,4.4,13.6,19.7
rawon masakan,100,60,4,2.5,5.4
rendang sapi masakan,100,193,7.8,7.9,22.6
rw anjing masakan,100,198,0.9,10.7,24.6
sate penyu masakan,100,179,13.3,3.5,22.5
sate pusut masakan,100,274,13.6,18.6,12.9
penyu serapah masakan,100,174,2.2,12.2,13.1
sie reuboh masakan,100,474,11.7,42.5,11.2
sop buntut masakan,100,71,2.2,3.6,7.5
sop daging sapi masakan,100,49,5.3,0.5,5.8
sop kaki sapi masakan,100,68,3.7,1.9,9
sop kambing masakan,100,34,1.1,0.8,5.5
sop konro masakan,100,71,4.5,2.6,7.4
sop saudara masakan,100,89,3.9,5,7.2
soto bandung masakan,100,42,2.8,1.7,3.9
soto banjar masakan,100,110,3.2,9.5,2.9
soto betawi masakan,100,135,11.5,8.8,2.5
soto jeroan masakan,100,92,1.4,4.3,11.8
soto kudus masakan,100,38,1.8,2.3,2.6
soto madura masakan,100,60,1.3,4.5,3.5
soto padang masakan,100,127,11,6.6,5.9
soto pekalongan masakan,100,94,5.1,6.8,3
soto pemalang masakan,100,75,3.5,5.2,3.6
soto sukaraja masakan,100,80,9,3.5,3.2
soto sulung masakan,100,86,0,8.5,2.3
sukiyaki masakan,100,75,12.2,0.4,5.6
tedong pallu basa masakan,100,83,2.8,3.4,10.4
tikus rica masakan,100,257,3.8,18.5,18.8
tinoransa masakan,100,516,0,49.5,17.7
belut segar,100,70,1,0.8,14.6
belutlaut segar,100,93,6.1,1.5,12.8
cumicumi segar,100,75,0.1,0.7,16.1
ikan bader segar,100,193,0,13,19
ikan balong segar,100,107,1.5,3.9,16.5
ikan bambangan segar,100,112,3.7,1.3,20
ikan bandeng segar,100,123,0,4.8,20
ikan banjar segar,100,111,4.8,0.9,19.4
ikan baronang segar,100,78,3.7,0.6,14.5
ikan batung segar,100,115,4.2,4.6,14.5
ikan baung segar,100,123,3.3,5.5,15.1
ikan bawal segar,100,91,0,1.7,19
ikan belida segar,100,80,2.2,1.4,14.7
ikan beunteur segar,100,109,0,4,17
ikan biawan segar,100,90,2.1,2.5,14.9
ikan bili segar,100,88,6.2,0.7,14.2
ikan bubara segar,100,100,4.9,2.4,14.7
ikan bulanbulan segar,100,134,5,1.3,25.5
ikan cakalang segar,100,107,5.5,0.7,19.6
ikan cakalang hati segar,100,120,10,3.9,11.3
ikan cakalang jantung segar,100,116,10.2,1.2,11.2
ikan cakalang perut segar,100,86,8.7,1.1,10.2
ikan daun segar,100,101,4.6,4.1,11.5
ikan ekor kuning segar,100,108,2.1,1.2,22.3
ikan gabus segar,100,80,2.6,0.5,16.2
ikan heu segar,100,81,6.6,1.6,10
ikan hitam segar,100,101,6.7,3.7,10.3
ikan hiu segar,100,57,2.2,0.3,10.7
ikan kacangan segar,100,77,1.6,0.9,15.6
ikan kakap segar,100,92,0,0.7,20
ikan kakatua segar,100,82,6.4,1.2,11.4
ikan kalaban segar,100,77,1.3,0.7,16.4
ikan kamera kakap merah segar,100,86,0,0.8,19.7
ikan kapar segar,100,132,0.8,6.7,17
ikan kawalinya segar,100,110,5.4,4.2,12.6
ikan kerukeru segar,100,93,0.8,2.1,16.5
ikan kima segar,100,70,5.2,0.7,10.8
ikan lais segar,100,161,2.4,11.5,11.9
ikan layang segar,100,109,0,1.7,22
ikan layur segar,100,144,0.4,1,18
ikan lehoma segar,100,90,0,0.9,20.4
ikan lemuru segar,100,112,0,3,20
ikan lidah segar,100,104,2,3.2,15.6
ikan malalugis segar,100,99,0.9,1.4,20.6
ikan mamar merah segar,100,115,4.4,4,15.3
ikan mas segar,100,86,0,2,16
ikan mayong segar,100,97,0.4,2,17.9
ikan mujahir segar,100,89,0,1,18.7
ikan nasu metti segar,100,154,10.5,5,16.8
ikan paling segar,100,303,0,27,14
ikan papuyu betok segar,100,120,4.6,4.9,14.3
ikan patin segar,100,132,1.1,6.6,17
ikan pomo segar,100,147,2.6,5.2,22.5
ikan puntin segar,100,76,2.2,1.1,14.4
ikan saluang segar,100,113,3.4,4.9,13.9
ikan sarden segar,100,109,3.4,1.8,19.9
ikan selar segar,100,100,0,2.2,18.8
ikan sepat segar,100,84,4.7,0.6,15.2
ikan sidat segar,100,81,3.8,1.9,11.4
ikan sunu segar,100,111,6.7,3.4,13.3
ikan tahuman segar,100,88,4.1,0.9,15.9
ikan tarmon segar,100,96,2,1.1,19.5
ikan telan segar,100,95,6.5,0.7,15.8
ikan tembang segar,100,204,0,15,16
ikan tempahas segar,100,101,1,4.1,15.1
ikan terbang segar,100,98,1,1.7,19.6
ikan teri segar,100,74,4.1,1.4,10.3
ikan titang segar,100,82,2.3,0.4,17.4
ikan tongkol segar,100,100,8,1.5,13.7
ikan turi segar,100,96,0.2,2,19.2
keong segar,100,64,2,1,12
kepiting segar,100,151,14.1,3.8,13.8
kerang segar,100,101,3.9,2.6,14.4
kodok segar,100,73,0,0.3,16.4
kurakura segar,100,83,0,0.2,19.1
kuro segar,100,87,1,2.2,16
lokan segar,100,217,5.1,1.7,11
rajungan segar,100,76,2.4,2,12.1
rebon udang kecil segar,100,81,0.7,1.2,16.2
rusip,100,110,11.7,2,11.5
udang galah segar,100,81,3,0.3,16.5
udang besar segar,100,56,1.2,0.6,11.4
udang segar,100,91,0.1,0.2,21
ikan gurame segar,100,127,0,5.6,18
ikan nila,100,128,0.18,0.18,16.79
seafood lobster mentah segar,100,112,2.43,1.51,20.6
bekicot dendeng mentah,100,441,15.8,20.3,48.7
cumicumi goreng,100,265,0,10.1,40.6
ikan asin kering,100,193,0,1.5,42
ikan bandeng presto masakan,100,296,11.3,20.3,17.1
ikan baung bakar,100,144,5.2,5.8,17.8
ikan belida bakar,100,128,7.2,3,18
ikan cakalang asap mentah,100,204,1.9,5.6,34.2
ikan cakalang asin mentah,100,198,5.5,2.2,36.5
ikan calo peda mentah,100,81,3.8,1.9,11.4
ikan gabus asap mentah,100,261,21.9,2.3,38.1
ikan gabus kering,100,268,0,4,58
ikan gete goreng,100,267,0.2,19.4,23.1
ikan hiu kering,100,298,20.2,3.6,46.3
ikan katombo asin,100,162,0.3,2.8,31.7
ikan kayu kering,100,302,0.4,1.9,70.7
ikan lais bakar,100,147,5.4,6.5,17.5
ikan lomak asin mentah,100,258,18.9,2.3,40.3
ikan mas pepes,100,209,11.8,11.3,15.2
ikan mujahir goreng,100,416,0,23.9,46.9
ikan mujahir pepes,100,121,0.8,2.8,21.7
ikan mujahir dendeng mentah,100,582,37.2,15.2,68.3
ikan papuyu bakar,100,152,6.7,6.1,17.6
ikan peda banjar mentah,100,156,2,4,28
ikan pepetek mentah,100,176,2,4.4,32
ikan pindang banjar mentah,100,157,1.8,4.2,28
ikan pindang benggol mentah,100,170,0,4.2,31
ikan pindang layang mentah,100,153,0,2.8,30
ikan pindang selar mentah,100,142,0,3,27
ikan sale mentah,100,534,4.9,39.3,40.2
ikan sale lais mentah,100,415,2.9,17.6,61.3
ikan saluang kering mentah,100,284,14.6,9.9,34.1
ikan sanggang masakan,100,240,20.7,7.7,21.7
ikan selar kuning cue mentah,100,138,0,3.3,27
ikan selar kering mentah,100,194,0,3.5,38
ikan sepat kering mentah,100,289,0,14,38
ikan sunu asin mentah,100,199,7.1,3.8,34.1
ikan tepung mentah,100,316,22.4,6.5,60.1
ikan teri nasi kering mentah,100,144,0,0.6,32.5
ikan teri bubuk mentah,100,277,1.8,2.3,60
ikan teri kering mentah,100,170,0,3,33.4
ikan teri kering tawar mentah,100,331,0,4.2,68.7
ikan teri tepung mentah,100,347,19.6,6.4,48.8
