Nama Makanan,Ukuran Porsi,Kalori (kkal),Karbohidrat (g),Lemak (g),Protein (g),Kategori,is_seafood,is_peanut,is_dairy,protein_to_calorie_ratio,is_low_calorie,is_low_fat,is_low_carb,is_high_carb,is_high_protein,Kalori (kkal)_scaled,Karbohidrat (g)_scaled,Lemak (g)_scaled,Protein (g)_scaled,protein_to_calorie_ratio_scaled
Fu Yung Hai,100 g,131,3.61,9.71,7.55,Masakan,0,0,0,0.057633588,0,0,1,0,1,-0.579776695,-0.974818332,0.415716134,-0.053963483,0.376003493
Telur Omega,100 g,100,1,6,4,Lauk,0,0,0,0.04,1,0,1,0,0,-0.885578897,-1.413445579,0.032523265,-0.609198585,-0.065989347
Telur Ayam Omega,100 g,150,1.67,10,11.67,Lauk,0,0,0,0.0778,0,0,1,0,1,-0.415906136,-1.272593075,0.440024212,0.396681418,0.765375114
Gudeg Original,100 g,190,10,12,11,Masakan,0,0,0,0.057894737,0,0,1,0,1,-0.11194535,-0.401417191,0.592646683,0.332091071,0.381767664
Mie Gaga Extra Pedas Goreng Jalapeno,100 g,447.06,63.53,16.47,9.41,Masakan,0,0,0,0.021048629,0,0,0,0,0,1.205909659,1.268373506,0.865343304,0.166707102,-0.681032728
Champong,100 g,429.84,67.74,13.71,8.06,Masakan,0,0,0,0.018751163,0,0,0,1,0,1.137074723,1.343820524,0.706254524,0.01000313,-0.767544593
Mi Keriting Rasa Ayam Panggang,100 g,433.33,58.89,16.67,11.11,Lauk,0,0,0,0.025638659,0,0,0,0,0,1.151174311,1.180914876,0.875916028,0.342885433,-0.516498946
Mie Goreng Ala Chef Devina,100 g,462.37,63.44,18.28,10.75,Masakan,0,0,0,0.023249778,0,0,0,0,0,1.265619056,1.266721704,0.957079097,0.307268136,-0.600780648
Rasa Ayam Spesial,100 g,453.33,62.67,18.67,9.33,Lauk,0,0,0,0.020581034,0,0,0,0,0,1.230527527,1.252519989,0.97576188,0.157877672,-0.698409563
Ramen Keju,100 g,433.33,60,16.67,10,Masakan,0,0,1,0.023077101,0,0,0,0,0,1.151174311,1.202277553,0.875916028,0.230238998,-0.606985239
Tomyam Flavour,100 g,463.86,59.16,21.2,8.92,Masakan,0,0,0,0.01922994,0,0,0,0,0,1.271358283,1.186137759,1.088983709,0.111770204,-0.749279763
Mie Goreng Rendang,100 g,376.62,70.13,6.49,10.39,Masakan,0,0,0,0.027587489,0,0,0,1,0,0.911769463,1.385153401,0.093021594,0.270788604,-0.44984162
Rasa Tengkleng,100 g,466.67,60,18.67,12,Masakan,0,0,0,0.025714102,0,0,0,0,0,1.282148082,1.202277553,0.97576188,0.427518936,-0.513883847
Mie Goreng Extra Pedas,100 g,440,68,16,9.33,Masakan,0,0,0,0.021204545,0,0,0,1,0,1.177908872,1.348367606,0.840034149,0.157877672,-0.675264407
